100 4 2 
0 1 0.710284 -0.126833 
1 1 0.397954 0.059516 
2 1 0.626041 0.134060 
3 1 1.597265 -0.385688 
4 1 2.133936 0.428365 
5 1 0.781116 -0.210448 
6 1 1.655375 -0.421458 
7 1 0.832061 -0.219877 
8 1 1.600607 0.343157 
9 1 2.105225 -0.293263 
10 1 1.878667 0.302763 
11 1 0.865452 -0.201041 
12 1 0.282209 -0.065824 
13 1 1.331094 -0.275033 
14 1 1.632451 -0.359175 
15 1 1.037153 -0.340780 
16 1 1.660496 -0.413301 
17 1 1.893014 -0.211523 
18 1 0.658499 -0.109235 
19 1 0.903816 -0.223934 
20 1 1.931206 -0.437666 
21 1 1.758683 0.401250 
22 1 1.426143 0.340129 
23 1 2.192318 0.059489 
24 1 1.891466 0.217667 
25 2 -1.568244 -0.411303 
26 2 -2.091495 0.059639 
27 2 -1.278919 0.341046 
28 2 -1.199857 0.344769 
29 2 -1.314087 0.346743 
30 2 -1.933875 -0.102472 
31 2 -1.741657 -0.317407 
32 2 -1.054706 -0.226816 
33 2 -1.060934 -0.218514 
34 2 -1.888758 -0.178576 
35 2 -2.283638 -0.217532 
36 2 -1.779795 -0.385674 
37 2 -2.061433 -0.311468 
38 2 -1.468095 0.367268 
39 2 -1.846160 -0.238513 
40 2 -0.939233 -0.372282 
41 2 -2.112944 -0.017895 
42 2 -1.833108 -0.243975 
43 2 -2.204784 -0.120891 
44 2 -1.263133 -0.358070 
45 2 -1.931235 0.337313 
46 2 -1.729726 0.275989 
47 2 -1.960154 -0.304414 
48 2 -1.598773 -0.369979 
49 2 -1.482765 0.380256 
50 3 0.257942 1.027568 
51 3 0.349167 1.541990 
52 3 0.222673 0.542885 
53 3 -0.359962 1.731636 
54 3 -0.399199 1.468697 
55 3 -0.193467 2.236437 
56 3 0.148154 0.539937 
57 3 -0.227975 0.967744 
58 3 -0.307739 0.962537 
59 3 -0.365594 1.692416 
60 3 0.103478 0.354046 
61 3 -0.274456 2.124280 
62 3 -0.303265 1.064513 
63 3 0.184952 0.483135 
64 3 0.166125 0.750119 
65 3 -0.040427 0.192903 
66 3 -0.249231 2.155631 
67 3 0.147906 2.220364 
68 3 0.317208 2.138070 
69 3 0.131475 0.625126 
70 3 -0.095914 0.458192 
71 3 0.357177 1.388619 
72 3 0.032162 0.477187 
73 3 0.036419 0.503814 
74 3 0.138916 0.620456 
75 4 0.131090 -2.191902 
76 4 0.251059 -1.171372 
77 4 0.238002 -0.861642 
78 4 -0.022591 -0.396362 
79 4 -0.264123 -1.075940 
80 4 -0.367008 -1.490244 
81 4 -0.255658 -2.063757 
82 4 0.334338 -1.545546 
83 4 0.075944 -0.551035 
84 4 0.242887 -1.002490 
85 4 -0.291760 -1.017446 
86 4 -0.353601 -1.719167 
87 4 -0.385981 -1.652279 
88 4 0.170165 -0.651471 
89 4 -0.315069 -1.206681 
90 4 -0.350551 -1.854150 
91 4 -0.254746 -1.391247 
92 4 0.260453 -1.850500 
93 4 0.375216 -1.095297 
94 4 -0.109849 -2.155886 
95 4 0.067851 -0.584164 
96 4 0.033910 -0.127895 
97 4 0.324466 -1.249832 
98 4 0.163806 -0.853244 
99 4 0.331524 -1.407044 
